Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2024,21222.5,21607.8,21085.85,21419.1,53397534,5891.8
27-MAR-2024,21118.4,21324.75,21088.7,21146.2,41299749,5373.52
26-MAR-2024,21018.5,21177.95,20974.75,21038.3,50917608,4613.24
22-MAR-2024,20706.4,21177.4,20622.8,21046.4,52410949,6130.82
21-MAR-2024,20541.75,20750.4,20472.6,20700.25,61033869,4949.61
20-MAR-2024,20438.45,20618.1,20263.9,20406.45,45661764,6100.77
19-MAR-2024,20398.45,20449.8,20258.1,20354.1,45785519,3863.14
18-MAR-2024,20189.85,20462.7,20102.9,20446.6,47737677,4111.64
15-MAR-2024,20475.6,20523.35,20066.8,20192.3,80387919,7434.58
14-MAR-2024,20235.05,20569.25,20169.85,20514.25,65323647,5574.3
13-MAR-2024,20942.25,20988.55,20211.2,20338.25,78929944,5647.42
12-MAR-2024,20999.3,21077.05,20853.85,20931.85,44597983,3598.68
11-MAR-2024,21213.4,21219.85,20962,21001.15,57255910,4670.17
07-MAR-2024,21141.4,21247.55,21004.5,21126.8,64684764,8302.02
06-MAR-2024,21153.35,21229.35,20888.8,21181.3,494641650,10224.77
05-MAR-2024,21003.1,21348.95,20930.4,21121.2,120846591,9534.28
04-MAR-2024,20998.85,21040.35,20824.95,20840.2,50656410,3619.75
01-MAR-2024,20485.75,20918.25,20473.3,20871.95,50775858,4616.18
29-FEB-2024,20317.8,20481.75,20230.2,20412.4,79203346,7932.63
28-FEB-2024,20808.4,20830.4,20325.7,20372.35,66452626,4571.6
27-FEB-2024,20633.4,20825.85,20593,20788.55,43485259,4272.23
26-FEB-2024,20633.45,20714.45,20537.5,20642.4,40767584,3842.19
23-FEB-2024,20692.8,20711,20540.75,20621.35,40071761,3814.15
22-FEB-2024,20341.15,20621.95,20181,20584.85,39334321,4329.53
21-FEB-2024,20372,20494.1,20192.45,20252.55,62180748,4382.43
