Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
23-DEC-2025,1406.55,1427.2,1398.85,1413.6,33475656,624.06
22-DEC-2025,1404.05,1409.5,1398.7,1402.45,20688306,340.19
19-DEC-2025,1398.85,1406.1,1391.65,1394.4,26359763,460.45
18-DEC-2025,1409.8,1412.5,1390.3,1393.2,27288185,461.32
17-DEC-2025,1437.3,1439.1,1406.95,1411.05,23513345,423.69
16-DEC-2025,1437.75,1438.75,1425.75,1435.6,26853280,516.26
15-DEC-2025,1413.6,1446.65,1413.6,1435.15,24393355,663.5
12-DEC-2025,1413.7,1425.2,1407.05,1409.85,22529962,371.56
11-DEC-2025,1412.2,1416.75,1395.1,1410.55,32916257,604.85
10-DEC-2025,1405.05,1422.3,1402.9,1411.8,47143140,883.47
09-DEC-2025,1391.8,1407,1367.3,1405.05,38251619,393.65
08-DEC-2025,1438.3,1444.35,1388.4,1395.35,26269838,422.7
05-DEC-2025,1440.1,1442.85,1428.55,1434.55,18416715,302.69
04-DEC-2025,1462.1,1463.85,1437.05,1441.4,12378029,182.19
03-DEC-2025,1453.8,1465.5,1449.8,1462.55,19183857,321.96
02-DEC-2025,1463.35,1467.35,1447.1,1458.9,19926357,318.52
01-DEC-2025,1470.65,1481.45,1461.2,1464.8,17384532,274.31
28-NOV-2025,1460.45,1485.6,1450.9,1468.25,36424718,469.47
27-NOV-2025,1451.6,1464.15,1449.25,1460.2,19724525,535
26-NOV-2025,1427.45,1452.1,1424.7,1448.05,12916245,218.7
25-NOV-2025,1434.3,1440.5,1417.95,1424.95,13281790,210.99
24-NOV-2025,1442.2,1446.5,1429.25,1436.5,16685200,234.61
21-NOV-2025,1455.8,1456.45,1441.6,1444.2,10575152,153.82
20-NOV-2025,1478.85,1481.35,1452.85,1455.55,9308037,149.14
19-NOV-2025,1485.05,1485.7,1467.6,1478.3,12859205,190.54
18-NOV-2025,1489.4,1490.25,1479.2,1482.25,13360338,202.04
17-NOV-2025,1484.75,1500.05,1481.15,1485.65,17523437,276.9
14-NOV-2025,1482.45,1490.25,1476.25,1479.7,16165240,248.12
13-NOV-2025,1498.5,1504.1,1476.15,1479.2,23394525,474.09
12-NOV-2025,1474.95,1492.55,1470.85,1487.45,26375485,367.82
11-NOV-2025,1478.35,1481.3,1463.8,1473.05,15391078,230.25
10-NOV-2025,1491.7,1494.5,1469.65,1474.15,11590128,194.92
07-NOV-2025,1492.75,1497.1,1475.3,1489.65,14487400,207.98
06-NOV-2025,1529.15,1533.7,1490.5,1493.6,16149987,254.8
04-NOV-2025,1540.55,1552.15,1529.25,1532.55,18999662,229.22
03-NOV-2025,1535.75,1547.1,1534.3,1541,13320231,197.87
31-OCT-2025,1559.45,1560.25,1534.05,1538.35,16333325,263.09
30-OCT-2025,1566.35,1568.35,1555.25,1558.95,17377390,253.29
29-OCT-2025,1541.3,1565.95,1534.65,1563.5,18041020,277.87
28-OCT-2025,1536.95,1554.55,1533.7,1538.45,16294256,268.32
27-OCT-2025,1545.65,1549.05,1529.15,1536.15,15492356,229.64
24-OCT-2025,1549.15,1549.4,1530.65,1540.1,15893397,262.75
23-OCT-2025,1546,1555.6,1540.05,1546.35,17046218,258.03
21-OCT-2025,1542.15,1551.15,1538.15,1541.5,4822926,63.07
20-OCT-2025,1527.95,1537.7,1516.4,1532.85,19050454,314.26
17-OCT-2025,1540.25,1540.25,1512.15,1519.6,24822205,391.04
16-OCT-2025,1546.3,1555.75,1537.9,1543.7,20468016,373.23
15-OCT-2025,1551.1,1552.7,1534.7,1539.25,17376899,334.78
14-OCT-2025,1569.05,1569.8,1542.7,1547.25,13328256,195.78
13-OCT-2025,1563.1,1567.85,1554.7,1563.35,11155337,208.31
10-OCT-2025,1556.2,1572.4,1550.55,1561.7,25533015,340.23
09-OCT-2025,1564,1573.95,1553.05,1557.55,16504075,303.28
08-OCT-2025,1584.35,1586,1551.95,1555.95,17081080,238.79
07-OCT-2025,1593,1595.5,1579.7,1583.1,15333158,237.7
