Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2024,8191.25,8320.9,8173.9,8257.2,156560712,4280.63
27-MAR-2024,8191.3,8219.85,8146.35,8154.95,127929100,3164.07
26-MAR-2024,8109.1,8201.25,8103.7,8161.2,154450944,3961.44
22-MAR-2024,8029.85,8169.45,7983.35,8130.8,179125574,4023.56
21-MAR-2024,7974.45,8069.2,7953.05,8052.75,255904104,5232.26
20-MAR-2024,7957.15,7999.25,7770.9,7860.9,177447605,3569.02
19-MAR-2024,7992.6,8086.15,7877.95,7923.6,201878251,4431.2
18-MAR-2024,7781.6,8015.55,7742.6,7996.9,272579800,5894.76
15-MAR-2024,7802.05,7855.45,7684.85,7802.65,257069731,6189.95
14-MAR-2024,7663.5,7814.4,7591.85,7799.95,238802524,6024.1
13-MAR-2024,8110.85,8121.2,7578.35,7647.4,240645324,6452.54
12-MAR-2024,8256.2,8273.5,8065.3,8108.4,128589529,3146.1
11-MAR-2024,8407.8,8410.25,8235.05,8250.75,139004496,3195.22
07-MAR-2024,8290.55,8436.55,8281.7,8371.3,259258059,5527.27
06-MAR-2024,8304.9,8324.8,8097.2,8257.65,186571439,4490.34
05-MAR-2024,8324.8,8347.75,8257.15,8300.55,155370959,3869.49
04-MAR-2024,8337,8375.25,8229.35,8318.95,282924178,5849.55
01-MAR-2024,7992.8,8225.65,7990.75,8208.5,348271299,6918.43
29-FEB-2024,7859.75,7965.95,7812,7921.9,326135801,8155.23
28-FEB-2024,8030.9,8049.1,7824.55,7850.35,121400157,3182.36
27-FEB-2024,7987.5,8016.45,7957,8000.55,106304765,2881.49
26-FEB-2024,8058.5,8081.4,7945.4,7971.75,110898681,3069.02
23-FEB-2024,8103.9,8112.8,8032.5,8047.75,111289869,3279.55
22-FEB-2024,8026.6,8078.3,7950.5,8069.4,188709208,4382.12
21-FEB-2024,8037.7,8118.9,7937.25,7976.45,270352026,6418.77
20-FEB-2024,8004.55,8007.5,7904.5,7955.8,119522685,3085.13
19-FEB-2024,8018.35,8035.5,7965,7981.25,111788579,2997.17
16-FEB-2024,7968.55,8022.2,7928.85,7976.45,220922380,5357.04
15-FEB-2024,7943.95,7987.15,7890.2,7910.6,313331077,8163.7
14-FEB-2024,7694.6,7885.9,7666.7,7874.8,245504052,5627.78
13-FEB-2024,7806.5,7806.8,7547.2,7737.85,230594527,6151.02
12-FEB-2024,8135.75,8182.95,7863.25,7901.65,186391542,3906.98
09-FEB-2024,8235.45,8239.2,7935.3,8095.6,174067830,4042.34
08-FEB-2024,8314.3,8344.25,8197.1,8221.85,136313526,3855.33
07-FEB-2024,8324.1,8348.25,8224.15,8276.65,245636258,5918.23
06-FEB-2024,8137.2,8255.95,8028.35,8238.25,276519014,6028.92
05-FEB-2024,8120.55,8226.45,8059.25,8109.55,341613132,7088.92
02-FEB-2024,7953.2,8115.2,7928.4,8078.25,332062053,7314.98
01-FEB-2024,8000.15,8003.8,7869.6,7891.05,135040105,4498.56
31-JAN-2024,7872.6,7986.55,7858.65,7973.1,140330304,4091.64
