"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","28 Mar 2025","21570.2","21577.2","21200.75","21295.50"
"NIFTY AUTO","27 Mar 2025","21445.65","21611.95","21216.4","21516.75"
"NIFTY AUTO","26 Mar 2025","21776.1","21924.6","21704.8","21742.80"
"NIFTY AUTO","25 Mar 2025","22050.9","22092.4","21683.1","21737.60"
"NIFTY AUTO","24 Mar 2025","21891.1","21987.1","21665.2","21938.70"
"NIFTY AUTO","21 Mar 2025","21720.95","21993.95","21667.35","21756.00"
"NIFTY AUTO","20 Mar 2025","21444.3","21672.3","21368.25","21623.05"
"NIFTY AUTO","19 Mar 2025","21305.55","21398.25","21194.15","21319.50"
"NIFTY AUTO","18 Mar 2025","20859.2","21251.3","20836.05","21234.95"
"NIFTY AUTO","17 Mar 2025","20539","20926.35","20538.05","20741.15"
"NIFTY AUTO","13 Mar 2025","20862.9","20883.15","20530.4","20554.05"
"NIFTY AUTO","12 Mar 2025","20713.55","20836.2","20590.8","20783.70"
"NIFTY AUTO","11 Mar 2025","20616.9","20733.45","20480.75","20682.65"
"NIFTY AUTO","10 Mar 2025","20946.4","21023.95","20706.3","20752.80"
"NIFTY AUTO","07 Mar 2025","20925.75","21197","20846","21009.70"
"NIFTY AUTO","06 Mar 2025","21030.7","21068.75","20733.4","20959.70"
"NIFTY AUTO","05 Mar 2025","20354.8","20848.4","20327.05","20796.75"
"NIFTY AUTO","04 Mar 2025","20295.8","20462.8","20174.85","20269.20"
"NIFTY AUTO","03 Mar 2025","20591.5","20865.85","20368.85","20538.15"
"NIFTY AUTO","28 Feb 2025","21180.8","21188.2","20460.1","20498.60"
"NIFTY AUTO","27 Feb 2025","21766.95","21786.3","21243.5","21335.35"
"NIFTY AUTO","25 Feb 2025","21616.05","21757.1","21585.9","21662.65"
"NIFTY AUTO","24 Feb 2025","21409.95","21597.35","21291.3","21552.50"
"NIFTY AUTO","21 Feb 2025","21973.95","22010.85","21435.5","21505.90"
"NIFTY AUTO","20 Feb 2025","21751.35","22092.8","21562.8","22074.90"
"NIFTY AUTO","19 Feb 2025","21683.65","21898.05","21597.1","21809.15"
