Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,37376.6,37540.8,36767.25,36886.15,28800180,3788.73
27-MAR-2025,37168.15,37627.6,37160,37548.3,35061407,4997.2
26-MAR-2025,37719.45,37929.4,37216.6,37336.7,23500984,3973.38
25-MAR-2025,37542.4,38073.05,37406,37706.9,36111649,6025.86
24-MAR-2025,36944.9,37469.85,36539.95,37217.05,27863918,4362.62
21-MAR-2025,35942.5,37033.9,35674.4,36702.8,53114455,7523.77
20-MAR-2025,36444.55,37109.85,36444.55,36676.65,37114607,4936.71
19-MAR-2025,36581.65,36581.65,35804.6,36223.5,36871655,5152.51
18-MAR-2025,36242.15,36681.15,36008.85,36619.35,29882904,4523.58
17-MAR-2025,35828.05,36170.25,35828.05,36137.2,29604117,4380.43
13-MAR-2025,36378.2,36592.95,35948.25,36122.5,23380461,3408.46
12-MAR-2025,37181.85,37201.55,35828.8,36310.65,44906537,6103.47
11-MAR-2025,37185.25,37500.8,36826.9,37400.1,28487096,4458.08
10-MAR-2025,37791.6,38037.3,37564.4,37644.4,20544833,2837.01
07-MAR-2025,38028.15,38048.35,37625.05,37820.45,22926601,3772.5
06-MAR-2025,38226.1,38347.1,37912,38145.3,30184830,5281.13
05-MAR-2025,37287.25,38381.75,37287.25,38072.3,31524802,6939.59
04-MAR-2025,37228.8,37537.2,36797.4,37276.95,26573916,4201.48
03-MAR-2025,37408.65,37930.15,37369.7,37614.45,30426299,4930.69
28-FEB-2025,38620.7,38642,37167.3,37318.3,50689680,8928.8
27-FEB-2025,38971.6,39237.7,38742.9,38946.65,31388330,4336.55
25-FEB-2025,39085.6,39518.2,39066.4,39131.3,24866437,4011.89
24-FEB-2025,40100.25,40186.5,39306.7,39446.6,32175193,5407.44
21-FEB-2025,40821.65,40905.4,40417.45,40544.5,18410013,3045.56
20-FEB-2025,40725.4,41004.85,40701.1,40865.95,17412730,3113.88
19-FEB-2025,41373.5,41403.25,40785.05,40924.25,20828566,4064.27
18-FEB-2025,41097.45,41530.3,41039.25,41464.35,23191617,3899.2
