Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,9172.9,9235.2,9045.1,9092.5,114287248,3117.44
27-MAR-2025,9066.85,9178.7,9057.1,9159.8,106674268,3171.04
26-MAR-2025,9150.65,9212.7,9078.4,9097.7,104978229,2695.91
25-MAR-2025,9291.35,9299.15,9098.2,9132.9,112618009,2653.45
24-MAR-2025,9261.25,9305.55,9200.95,9262.85,137936756,3199.44
21-MAR-2025,9282.85,9291.65,9166.4,9203.55,190618416,4630.2
20-MAR-2025,9219.5,9274,9092.4,9254.1,156402511,4119
19-MAR-2025,9142.3,9185.2,9076.85,9148.55,201795766,4275.21
18-MAR-2025,8923,9041.6,8892.45,9033.45,119037464,2822.07
17-MAR-2025,8810.2,8910,8803.85,8845.25,95328292,2234.27
13-MAR-2025,8897.75,8920.4,8763.1,8777.65,112647615,2506.79
12-MAR-2025,8941.35,8972.6,8725.8,8854.3,102928370,2352.26
11-MAR-2025,8739.9,8915.85,8715.15,8897.3,121780148,2805.42
10-MAR-2025,8924.65,9042.8,8825.6,8850.3,144016744,3459.95
07-MAR-2025,8870.3,8978.05,8853.25,8926.9,166447648,3655.14
06-MAR-2025,8762.5,8947.25,8734.65,8888.65,190921759,4520.14
05-MAR-2025,8322.2,8693.9,8322.15,8685.2,189397264,4097.17
04-MAR-2025,8197.2,8393,8157.9,8347.75,107574275,2284.34
03-MAR-2025,8244.7,8344.55,8085.55,8316.3,109783895,2868.66
28-FEB-2025,8272.25,8272.25,8119.55,8219.25,164289860,4576.07
27-FEB-2025,8308.95,8364.65,8241,8334.8,101988676,2575.11
25-FEB-2025,8413.65,8437,8282.1,8293.45,105752432,2888.68
24-FEB-2025,8506.15,8557.05,8378.2,8422.8,97579375,2364.12
21-FEB-2025,8528.9,8657.3,8498.7,8609.7,161689440,3965.73
20-FEB-2025,8341.15,8538.4,8336.4,8523,95481796,2607.56
19-FEB-2025,8201.35,8380.95,8167.2,8359.2,82207040,2332.86
18-FEB-2025,8263.1,8278.2,8119.8,8255.6,85330173,2031.43
17-FEB-2025,8155.4,8261.35,8028.8,8250.2,85236017,2327.64
14-FEB-2025,8380.45,8460.8,8097.8,8187.5,143656484,3850.13
13-FEB-2025,8263.7,8459.15,8256.05,8336.35,130750766,2971.05
12-FEB-2025,8205.7,8316.75,8060.45,8268.4,162156517,3543
11-FEB-2025,8302.15,8423.9,8182.25,8213.55,140101482,4166.38
10-FEB-2025,8560.9,8563.75,8319.35,8359.25,88155050,2141.94
07-FEB-2025,8377.95,8611.9,8370.8,8585.8,153565910,3609.67
06-FEB-2025,8449.55,8469.45,8325.8,8363.65,87167734,2029.1
05-FEB-2025,8313.75,8467.8,8312.75,8427.1,76925912,1989.07
04-FEB-2025,8229.15,8358.65,8227.8,8301.45,81524799,2249.25
03-FEB-2025,8187.95,8196.05,7979.55,8155.15,123170736,3417.71
01-FEB-2025,8420.5,8443.9,8161.3,8298.5,75361515,1972.4
31-JAN-2025,8278.8,8409.2,8190.9,8399.7,115663370,4190.49
30-JAN-2025,8320.35,8437.55,8250.7,8299.75,80553821,2361.88
29-JAN-2025,8183.05,8321.55,8153.8,8308.65,64906236,1567.05
28-JAN-2025,8218.05,8259.15,8055.15,8157.45,105174086,2374.58
27-JAN-2025,8333.45,8348,8170.25,8189.8,82416322,2205.76
24-JAN-2025,8523.15,8617.7,8417.5,8438.8,96930893,2465.52
23-JAN-2025,8448.9,8557.7,8409.35,8515.55,91609152,2054.78
22-JAN-2025,8560.7,8560.75,8332.1,8470.25,98678064,2249.44
21-JAN-2025,8661.6,8696.45,8520.1,8532.1,115926798,2624.55
20-JAN-2025,8558.3,8643.45,8473.5,8613.35,89799347,2140.55
17-JAN-2025,8435.9,8556.35,8412.2,8521.7,103435020,2442.6
16-JAN-2025,8389.65,8450.3,8367.8,8422,96972152,2662.41
15-JAN-2025,8323,8353.9,8236.35,8280.95,83678270,2257.5
14-JAN-2025,7978.15,8283.8,7977.9,8267.5,142609691,3790.42
13-JAN-2025,8194.65,8198.45,7935.35,7951.35,131282530,3044.46
10-JAN-2025,8391.15,8412.45,8204.45,8262.95,112931617,2809.99
09-JAN-2025,8474.1,8501.75,8386.35,8398.85,87581913,2179.25
08-JAN-2025,8558.35,8567.2,8436.85,8503.2,103756491,2118.17
07-JAN-2025,8464.05,8595.05,8459.75,8560.55,100898170,2118.91
06-JAN-2025,8740.65,8740.8,8430.5,8455.5,125151116,3023.11
03-JAN-2025,8723.7,8817.15,8710.9,8729.95,95275929,2774.87
02-JAN-2025,8655.75,8728.15,8616.5,8723.35,94526953,2555.48
01-JAN-2025,8646.6,8667.7,8580.25,8639.9,75777253,2484.1
31-DEC-2024,8590.7,8679.95,8573.35,8649.9,97002022,2610.33
30-DEC-2024,8720.85,8753.3,8584,8609.85,147909117,5430.11
27-DEC-2024,8820.5,8869.8,8707.65,8720.7,87231941,2203.59
26-DEC-2024,8835.9,8853.25,8757.75,8805.25,94353392,2684.42
24-DEC-2024,8875.3,8897,8786.8,8817.6,98108981,2960.29
23-DEC-2024,8902.05,8979.45,8828.45,8891.4,107773004,3142.17
20-DEC-2024,8981.8,9051.2,8788.95,8813.25,156800704,6089.18
19-DEC-2024,8901.35,8989.1,8854.7,8977.2,84496658,2586.24
18-DEC-2024,9207.5,9220.6,9030.65,9069.9,102954431,2827.67
17-DEC-2024,9332.8,9357.3,9171.15,9194.95,91469920,2907.26
16-DEC-2024,9446.45,9469.9,9311.7,9347.75,77011638,2461.06
13-DEC-2024,9460.7,9465.1,9239.1,9439.3,146811459,4039.96
12-DEC-2024,9522.55,9537.7,9417.4,9507.75,160700653,5066.78
11-DEC-2024,9483.4,9605.35,9450.15,9483.65,102880164,3781.52
10-DEC-2024,9496.95,9562.3,9427.85,9475.35,116614033,3753.05
09-DEC-2024,9397.6,9462.4,9299.85,9455.25,118493160,3541.34
06-DEC-2024,9300.3,9416.6,9270.1,9397.15,109617164,3589.82
05-DEC-2024,9251.4,9325.45,9154.65,9282.75,98350609,3374.92
04-DEC-2024,9264.7,9283.65,9155.85,9230.1,97139367,3000.13
03-DEC-2024,9175.05,9261.9,9169.65,9246.25,101442433,3501.55
02-DEC-2024,9032.5,9143.6,8996.3,9133.6,71226099,2724.62
29-NOV-2024,8994.55,9074.2,8955.35,9034,99936588,4655.14
28-NOV-2024,9020.45,9074.85,8947,8964.85,106861629,6189.98
27-NOV-2024,8930.2,9004.05,8864.1,8987.35,94271316,5993.16
26-NOV-2024,8907.3,8981.05,8867.3,8916.7,99798195,4148.92
25-NOV-2024,8973.6,8978.95,8865.95,8883,167172101,6569.41
22-NOV-2024,8712.1,8872.15,8658.35,8846.2,140152154,7588.9
21-NOV-2024,8816.05,8832.5,8652.15,8717.4,200854396,9274.03
19-NOV-2024,9017.35,9067.8,8897.55,8920.35,116314235,3045.71
18-NOV-2024,8918.3,9129.65,8894.8,8996.65,219983024,5958.48
14-NOV-2024,8866.8,8948.6,8812.9,8828.7,120626592,3207.08
13-NOV-2024,9039.25,9061.45,8802.2,8836.75,138289275,3484.03
12-NOV-2024,9266.15,9304.45,9049.9,9078.5,125686813,3765.39
11-NOV-2024,9281.6,9294.35,9166.3,9216.25,116293233,3086.15
08-NOV-2024,9432.4,9473.8,9262.35,9308.9,194601720,4914.69
07-NOV-2024,9646.25,9657.75,9355.9,9392.85,207194045,6489.03
06-NOV-2024,9557.7,9671.25,9399.85,9656.45,173663944,5216.4
05-NOV-2024,9245.5,9525.3,9234.1,9505.4,141194820,4003.21
04-NOV-2024,9393.5,9398.7,9118.7,9242.9,101337079,2923.83
01-NOV-2024,9376.8,9414.7,9371.75,9390.3,16513870,484.68
31-OCT-2024,9338.95,9365.6,9279.45,9326.85,88685214,2707.39
30-OCT-2024,9305.35,9427.85,9267.75,9342.45,77872056,3031.35
29-OCT-2024,9297.7,9358.25,9097.3,9338.75,96312891,3034.65
28-OCT-2024,9056.6,9314.7,9001.75,9278.4,102274255,2880.71
25-OCT-2024,9295.25,9300.3,8924.55,9048.95,152585120,4291.63
24-OCT-2024,9304.05,9314.7,9151.15,9273.45,93795090,3409.92
23-OCT-2024,9315.65,9432.25,9247.35,9295.25,146004114,4052.99
22-OCT-2024,9597.1,9627,9301.45,9318.8,123054442,3655.47
21-OCT-2024,9802.8,9858.75,9594.1,9606.8,90889690,2766.51
18-OCT-2024,9579.15,9780,9484.2,9753.9,132863255,3843.95
17-OCT-2024,9786.9,9816.3,9574.85,9603.3,136720195,4779.1
16-OCT-2024,9743.5,9828.7,9694.1,9741.7,93791418,3121.55
15-OCT-2024,9938.6,9956.35,9722.65,9762.05,94975383,3021.18
14-OCT-2024,9968.05,10062.65,9881.45,9905,118994019,3254.61
11-OCT-2024,9858.15,10011.8,9855.85,9932.7,144977252,3920.7
10-OCT-2024,9799.65,9882.4,9779.75,9839.95,103537685,3544.57
09-OCT-2024,9779.1,9914.65,9724.5,9800.75,133733442,3791.79
08-OCT-2024,9817.55,9836.75,9574.7,9794.45,204741034,5568.5
07-OCT-2024,10157.75,10177.6,9778.9,9886.3,150286175,4635.47
04-OCT-2024,10150.85,10250.65,9979.4,10113.2,149046670,4632.79
03-OCT-2024,10129.8,10322.05,10123.75,10155,209377372,6583.92
01-OCT-2024,10214.25,10236.2,10061.85,10222.95,201286952,5935.77
30-SEP-2024,10124.1,10263.65,10119.65,10198.35,261831084,7825.69
27-SEP-2024,10058.85,10167.4,10043.65,10064.6,240754548,7713.19
26-SEP-2024,9793.4,9999.2,9702.75,9985.7,277990303,8152
25-SEP-2024,9816.75,9869.5,9734.65,9777.15,202845771,5905.87
24-SEP-2024,9531.35,9745.3,9522.15,9735.4,335875600,9046.98
23-SEP-2024,9461.65,9466.35,9403.4,9454.85,87643422,2569.2
20-SEP-2024,9337.85,9451.7,9329.1,9404.3,151645257,5341.3
19-SEP-2024,9370.9,9387.1,9122.95,9251.2,122424122,3749.34
18-SEP-2024,9381.75,9384.2,9253.95,9310.55,67930943,2058.29
17-SEP-2024,9445.35,9463.9,9369.6,9388.15,67283045,2203.66
16-SEP-2024,9432.8,9500.85,9406.4,9427.7,124788003,4156.01
13-SEP-2024,9342.9,9442.65,9327.55,9370.65,139347485,4006.85
12-SEP-2024,9144.35,9305.6,9068.95,9290.85,154688891,4328.49
11-SEP-2024,9160.05,9169.7,9010.25,9028.2,75605123,2399.23
10-SEP-2024,9140.65,9231.75,9100.05,9156.2,96812615,2761.19
09-SEP-2024,9136.1,9137.55,8993.35,9099,101128358,3194.56
06-SEP-2024,9224.85,9263.45,9101.95,9161.15,99906744,3364.21
05-SEP-2024,9213.8,9249.2,9198.75,9212.95,76374904,2473.89
04-SEP-2024,9136,9222.35,9111.1,9185.5,113272613,3542.45
03-SEP-2024,9331.4,9344.05,9245.4,9254.75,85101987,3390.18
02-SEP-2024,9437.6,9449.25,9276.6,9307.15,85528728,3265.11
30-AUG-2024,9390.65,9457.2,9369.9,9405.25,141815022,5239.21
29-AUG-2024,9392.35,9404.9,9266.65,9369.95,116801539,3905
28-AUG-2024,9460.65,9461.2,9375.5,9414.8,82551286,2960.88
27-AUG-2024,9499.9,9518.45,9424.3,9432.75,117505583,4017.38
26-AUG-2024,9349.8,9512.2,9322.6,9490.75,157508211,4913.41
23-AUG-2024,9344.45,9352.45,9273.3,9290.5,91657668,3093.93
22-AUG-2024,9309.7,9333,9273.15,9326.25,104043607,3442.33
21-AUG-2024,9185.2,9313.55,9174.45,9264.05,125560931,3898.95
20-AUG-2024,9224.9,9225.25,9132.7,9204.65,147497409,4535.83
19-AUG-2024,9033.45,9173.35,9031.45,9161.95,178500023,5332.71
16-AUG-2024,8938.7,9009.7,8871.75,8994.1,162387499,4761.38
14-AUG-2024,8989.25,8992.8,8727.8,8844.3,225381729,5770.56
13-AUG-2024,9164.1,9171.5,8941.15,8957.15,115937555,3913.22
12-AUG-2024,8970.2,9149.3,8902.6,9106.25,143004291,6652.77
09-AUG-2024,9086.75,9099.05,8987.3,9038.3,145898869,3252.54
08-AUG-2024,9115,9115.8,8953.8,8969.25,125317082,3799.32
07-AUG-2024,9064.25,9152.05,8993.45,9128.45,104481503,3492.94
06-AUG-2024,8955.55,9086.65,8865,8888.95,133453734,4186.55
05-AUG-2024,9077.2,9100.05,8797.6,8862.5,238900110,6486.08
02-AUG-2024,9440.35,9448.3,9301.5,9314.55,161600204,4988.3
01-AUG-2024,9690.85,9759.6,9513.6,9573.2,238364255,7698.27
31-JUL-2024,9550.75,9611.1,9499.75,9583.4,140814036,4495.67
30-JUL-2024,9441.55,9512.45,9367.4,9468.35,100953547,3429.28
29-JUL-2024,9510.75,9520.35,9416.85,9450.3,127840532,4616.24
26-JUL-2024,9240.05,9448.35,9215.75,9423.4,139289980,4519.25
25-JUL-2024,9152.95,9181.45,9093.75,9148,136549396,4104.71
24-JUL-2024,9272.4,9328.95,9225.35,9267.15,123143828,3828.9
23-JUL-2024,9383.6,9391.8,8964.05,9263.1,160395993,4998.01
22-JUL-2024,9211.25,9366.1,9154.55,9350.6,120291735,3604.33
19-JUL-2024,9611.35,9614,9241.15,9256.3,180759298,4753.68
18-JUL-2024,9719.95,9724.1,9587.7,9636.95,127812504,4201.35
16-JUL-2024,9775,9821.9,9708.3,9722,99863949,3501.39
15-JUL-2024,9721.55,9752.65,9635.05,9729.6,116821805,3201.13
12-JUL-2024,9763.95,9782.75,9653.15,9708.2,88455509,2748.29
11-JUL-2024,9792.4,9819.7,9694.85,9723.25,113550085,3641.46
10-JUL-2024,9899.8,9921.85,9600.1,9722.8,151866269,4235.47
09-JUL-2024,9923.55,9957.7,9853.35,9881.9,110314698,3575.19
08-JUL-2024,9992.85,9993.7,9840.8,9877.35,133276546,3862.43
05-JUL-2024,9943.25,10004.75,9898.4,9970.5,162604047,4384.32
04-JUL-2024,9989.5,10027.95,9928.5,9936.8,115116546,3592.97
03-JUL-2024,9868.9,9952.8,9835.55,9940.1,115881154,3769.51
02-JUL-2024,9901.95,9942.6,9798.35,9835.7,128477772,4011.6
01-JUL-2024,9849.65,9913.65,9842.3,9882.8,126300215,4105.62
28-JUN-2024,9793.5,9889.25,9784.65,9814.3,171059458,4662.96
27-JUN-2024,9720.8,9814.85,9646.1,9767.4,195799873,6736.79
26-JUN-2024,9821.25,9832.55,9701.3,9714.3,291002593,10958.9
25-JUN-2024,9961.9,9994.5,9833.2,9857.45,115550700,3943.33
24-JUN-2024,9912.85,9967.65,9807.4,9926.85,148189509,5007.26
21-JUN-2024,9988.75,10042.85,9910,9990.9,219627213,7841.58
20-JUN-2024,9803.25,10016.35,9764.7,9951.05,160836809,5540.57
19-JUN-2024,9933.1,9937.8,9747.05,9773.3,87078741,3034.09
18-JUN-2024,9957.3,9988.05,9881.15,9890.2,100283143,3533.59
14-JUN-2024,9872.2,9925.05,9796.85,9912.1,134965354,5243.87
13-JUN-2024,9907,9937.85,9798.1,9840.25,107972099,4319.98
12-JUN-2024,9828.2,9888.55,9802,9838.35,113818165,4628.11
11-JUN-2024,9813.3,9890.25,9777.1,9789.55,137080327,4992.1
10-JUN-2024,9853.45,9865.1,9750.35,9795.85,154176232,5520.61
07-JUN-2024,9641.35,9857.4,9577.55,9833.6,193254897,6789.43
06-JUN-2024,9592.95,9733.9,9556.5,9632.5,213426110,7367.81
05-JUN-2024,9077.6,9524.3,8736.5,9496.6,257210076,9422.25
04-JUN-2024,9986.4,9988.2,8534.95,8980.15,470717780,17641.12
03-JUN-2024,10195.6,10195.6,9933.3,10048.55,215898878,8832.52
31-MAY-2024,9631.5,9783.8,9574.05,9723.6,288082089,13229.09
30-MAY-2024,9800.45,9808.55,9517.4,9545.25,214717837,6285.49
29-MAY-2024,9830.8,9927.85,9763.8,9841.2,159354274,5813.54
28-MAY-2024,9910.65,9996.85,9788.05,9815.05,211108131,6520.88
27-MAY-2024,9997.75,10022.55,9847.4,9866.4,125413262,4783.45
24-MAY-2024,9966.1,10060.25,9907.2,9928.4,138617989,5534.52
23-MAY-2024,9872.8,9977.6,9738.35,9959.45,172505799,7740.02
22-MAY-2024,10051.7,10051.7,9845.5,9919.45,263463369,10178.77
21-MAY-2024,9671.45,10002.3,9645.3,9981.15,298923496,10545.79
18-MAY-2024,9586.4,9633.3,9568.05,9608.8,43311972,1241.84
17-MAY-2024,9422.2,9582.5,9403.15,9557.95,148632232,4923.74
16-MAY-2024,9423.45,9465.85,9262,9405.4,136496654,5222.61
15-MAY-2024,9389.4,9492.5,9361.3,9376.9,131961098,4718.4
14-MAY-2024,9148.75,9373.95,9135.5,9347.15,203949255,7991.55
13-MAY-2024,8970.6,9106.7,8789.95,9094.8,138815408,5474.56
10-MAY-2024,8886.25,8990.7,8807.85,8977.45,133621144,4908.4
09-MAY-2024,9117.35,9140.3,8816.9,8841.25,104076437,3289.45
08-MAY-2024,8940.35,9130.6,8931,9102.35,117392142,3699.24
07-MAY-2024,9223.25,9223.8,8897.55,8969.9,155737819,4728.56
06-MAY-2024,9326.25,9338.25,9078.25,9189.75,170902833,5446.3
